ID товара,Наименование товара,Ссылка на товар,Регулярная цена,Старая цена
1037289,"Royal Canin Sensitivity Control Feline Влажный корм (пауч) для кошек, цыпленок и рис, 85 гр.",/product/royal-canin-korm-vlazhnyj-dlya-koshek-sensitiviti-kontrol-tsyplenok-ris-85-g-3027-1037289/,159 ₽,Нет старой цены
1009312,"ProPlan Indoor Влажный корм (пауч) для взрослых кошек живущих дома, с лососем в соусе, 85 гр.",/product/proplan-nutri-savour-vlazhnyj-korm-dlya-vzroslyh-koshek-zhivushchih-doma-s-lososem-v-souse-85-g-88936-1009312/,89 ₽,Нет старой цены
1059594,"ProPlan Healthy Start Влажный корм (мультипак) для котят, с говядиной в соусе, индейкой в соусе и курицей в желе, 10x85 гр.",/product/proplan-korm-vlazhnyj-dlya-kotyat-govyadina-indejka-kuritsa-promo-nabor-10x85g-83270-1059594/,809 ₽,Нет старой цены
1000889,"Royal Canin Instinctive Влажный корм (пауч) для кошек старше 1 года, мелкие кусочки в соусе, 85 гр.",/product/royal-canin-instinctive-kusochki-v-souse-dlya-koshek-starshe-1-goda-85-g-615-1000889/,97 ₽,Нет старой цены
1040174,"Grandorf Сухой корм для стерилизованных кошек, четыре вида мяса, 400 гр.",/product/grandorf-suhoj-korm-dlya-sterilizovannyh-koshek-chetyre-vida-myasa-400-gr-1178-1040174/,1 045 ₽,Нет старой цены
1053529,"Ownat Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 3 кг",/product/ownat-adult-care-hypoallergenic-suhoj-korm-gipoallergennyj-dlya-vzroslyh-koshek-s-ryboj-3-kg-1191-1053529/,3 559 ₽,Нет старой цены
1053069,"Wellkiss Sterilized Влажный корм (пауч) для стерилизованных кошек, кусочки с индейкой в соусе, 85 гр.",/product/wellkiss-sterilized-vlazhnyj-korm-pauch-dlya-sterilizovannyh-koshek-kusochki-s-indejkoj-v-souse-85-gr-468-1053069/,63 ₽,Нет старой цены
1060699,"AlphaPet Wow Влажный корм (блистер) для кошек, цыпленок в соусе, 2x40 гр.",/product/alphapet-korm-vlazhnyj-dlya-koshek-tsyplenok-v-souse-80-g-85531-1060699/,65 ₽,Нет старой цены
1056213,"ProPlan Sterilised Maintenance Влажный корм (мультипак) для взрослых стерилизованных кошек, с уткой в соусе, курицей в соусе, 10х85 гр.",/product/proplan-korm-vlazhnyj-dlya-sterilizovannyh-koshek-s-kuritsej-i-utkoj-v-souse-10h85-gr-609-1056213/,809 ₽,Нет старой цены
1009311,"ProPlan Delicate Digestion Влажный корм (пауч) для взрослых кошек с чувствительным пищеварением, с океанической рыбой в соусе, 85 гр.",/product/proplan-nutri-savour-vlazhnyj-korm-dlya-vzroslyh-koshek-s-chuvstvitelnym-pishchevareniem-ili-s-osobymi-predpochteniyami-v-ede-s-okeanicheskoj-ryboj-v-souse-85-g-88929-1009311/,89 ₽,Нет старой цены
1016933,"ProPlan Sterilised Maintenance Влажный корм (пауч) для взрослых стерилизованных кошек и кастрированных котов, с океанической рыбой в желе, 85 гр.",/product/proplan-sterilised-vlazhnyj-korm-dlya-vzroslyh-koshek-dlya-sterilizovannyh-s-okeanicheskoj-ryboj-v-zhele-85-g-88928-1016933/,89 ₽,Нет старой цены
1053070,"Wellkiss Sterilized Влажный корм (пауч) для стерилизованных кошек, кусочки с ягненком в соусе, 85 гр.",/product/wellkiss-sterilized-vlazhnyj-korm-pauch-dlya-sterilizovannyh-koshek-kusochki-s-yagnenkom-v-souse-85-gr-469-1053070/,63 ₽,Нет старой цены
1000890,"Royal Canin Intense Beauty Care Влажный корм (пауч) для поддержания здоровья кожи и блеска шерсти кошек, тонкие ломтики в соусе, 85 гр.",/product/royal-canin-intense-beauty-vlazhnyj-korm-dlya-podderzhaniya-krasoty-shersti-koshek-v-souse-85-g-616-1000890/,99 ₽,Нет старой цены
1054669,"Grandin Влажный корм (пауч) для котят, кусочки с курицей в соусе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-kotyat-kusochki-s-kuritsej-v-souse-85-gr-757-1054669/,79 ₽,Нет старой цены
1040168,"Grandorf Sterilised Adult Сухой корм для стерилизованных кошек, кролик с индейкой, 400 гр.",/product/grandorf-suhoj-korm-dlya-sterilizovannyh-koshek-krolik-s-risom-400g-1175-1040168/,985 ₽,Нет старой цены
1055469,"Grandin Влажный корм для взрослых кошек, тунец с курицей в нежном желе, 85 гр.",/product/grandin-vlazhnyj-korm-dlya-vzroslyh-koshek-tunets-s-kuritsej-v-nezhnom-zhele-85-gr-89033-1055469/,219 ₽,Нет старой цены
1009976,"ProPlan Healthy Start Влажный корм (пауч) для котят, с индейкой в соусе, 85 гр.",/product/proplan-vlazhnyj-korm-dlya-kotyat-nutri-savour-s-indejkoj-v-souse-85-g-599-1009976/,89 ₽,Нет старой цены
1049427,"Crave Влажный корм (пауч) полнорационный для кошек всех пород старше 1 года, с лососем, 70 гр.",/product/crave-korm-konservirovannyj-polnoratsionnyj-dlya-koshek-vseh-porod-starshe-1-goda-s-lososem-70-g-850-1049427/,85 ₽,99 ₽
1056703,"AlphaPet Влажный корм для кошек с чувствительным пищеварением, с уткой и клюквой в соусе, 80 гр.",/product/alphapet-vlazhnyj-korm-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-utkoj-i-klyukvoj-v-souse-80-gr-528-1056703/,93 ₽,Нет старой цены
1004484,"Royal Canin Instinctive Adult Влажный корм (пауч) для кошек в возрасте от 1 года до 7 лет, кусочки в желе, 85 гр.",/product/royal-canin-instinctive-kusochki-v-zhele-dlya-koshek-starshe-1-goda-85-g-618-1004484/,83 ₽,97 ₽
1054666,"Grandin Влажный корм (пауч) для стерилизованных кошек, кусочки с ягненком в соусе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-sterilizovannyh-koshek-kusochki-s-yagnenkom-v-souse-85-gr-754-1054666/,79 ₽,Нет старой цены
1026174,"ProPlan Senior 7+ Влажный корм для пожилых кошек, с индейкой в соусе, 85 гр.",/product/proplan-senior-7-vlazhnyj-korm-dlya-pozhilyh-koshek-s-indejkoj-v-souse-85-g-603-1026174/,89 ₽,Нет старой цены
1061695,"Royal Canin Indoor Sterilised Влажный корм (пауч) для стерилизованных кошек, живущих в помещении, 85 гр.",/product/royal-canin-korm-vlazhnyj-85g-dlya-koshekindor-sous-87616-1061695/,83 ₽,97 ₽
1008817,"Royal Canin Kitten Влажный корм (пауч) для котят от 4 до 12 месяцев, кусочки в желе, 85 гр.",/product/royal-canin-kitten-vlazhnyj-korm-dlya-kotyat-ot-4-do-12-mesyatsev-kusochki-v-zhele-85-g-622-1008817/,83 ₽,97 ₽
1061688,"Royal Canin Gastrointestinal Сухой корм при нарушениях пищеварения у кошек, 350 гр.",/product/royal-canin-korm-suhoj-dlya-koshek-gastrointestinal-87609-1061688/,759 ₽,Нет старой цены
1059595,"ProPlan Delicate Digestion Влажный корм (мультипак) для взрослых кошек с чувствительным пищеварением, с индейкой в соусе, ягненком в соусе, 10х85 гр.",/product/proplan-korm-vlazhnyj-dlya-koshek-s-chuvstvitelnym-pishchevareniem-indejka-yagnenok-promo-nabor-10h85g-83271-1059595/,809 ₽,Нет старой цены
1061421,"Ownat Author Сухой корм для кошек, с жирной рыбой и свежим мясом домашней птицы, 1,5 кг",/product/ownat-korm-dlya-koshek-s-zhirnoj-ryboj-i-svezhim-myasom-domashnej-ptitsy-1-5-kg-87299-1061421/,2 599 ₽,Нет старой цены
1049540,"INABA CIAO Влажный корм (пауч) для кошек, тунец магуро и тунец кацуо с палтусом, 60 гр.",/product/inaba-ciao-vlazhnyj-korm-dlya-koshek-tunets-maguro-i-tunets-katsuo-s-paltusom-60-g-89817-1049540/,159 ₽,Нет старой цены
1026173,"ProPlan Elegant влажный корм для взрослых кошек для здоровья кожи и шерсти с треской, в соусе, 85 г",/product/proplan-elegant-vlazhnyj-korm-dlya-vzroslyh-koshek-dlya-zdorovya-kozhi-i-shersti-s-treskoj-v-souse-85-g-602-1026173/,89 ₽,Нет старой цены
1043230,"Farmina Vet Life Struvite диетический влажный корм для кошек при мочекаменной болезни, 85г",/product/farmina-vet-life-struvite-dieticheskij-vlazhnyj-korm-dlya-koshek-pri-mochekamennoj-bolezni-85g-3066-1043230/,249 ₽,Нет старой цены
1056309,"Grandin Sterilized Grain free Monoprotein Влажный корм (пауч) для взрослых стерилизованных кошек, патэ из нежного мяса ягненка в желе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-vzroslyh-sterilizovannyh-koshek-pate-iz-nezhnogo-myasa-yagnenka-v-zhele-85-gr-764-1056309/,129 ₽,Нет старой цены
1000865,"Royal Canin Hypoallergenic DR25 Сухой корм для кошек с пищевой аллергией, 2,5 кг",/product/royal-canin-hypoallergenic-dr25-korm-dlya-koshek-s-pishchevoj-allergiej-2-5-kg-3092-1000865/,5 367 ₽,Нет старой цены
1049424,"Crave Влажный корм (пауч) полнорационный для кошек всех пород старше 1 года, с кроликом, 70 гр.",/product/crave-korm-konservirovannyj-polnoratsionnyj-dlya-koshek-vseh-porod-starshe-1-goda-s-krolikom-70-g-90014-1049424/,85 ₽,99 ₽
1062913,"ALLEVA Cat Allergocontrol Сухой диетический корм для кошек, 1,5 кг",/product/alleva-care-korm-suhoj-dlya-koshek-allergokontrol-1-5kg-89329-1062913/,4 309 ₽,Нет старой цены
1062914,"ALLEVA Cat Gastrointestinal Low Fat Сухой диетический корм для кошек, 1,5 кг",/product/alleva-care-korm-suhoj-dlya-koshek-gastrointestinal-1-5kg-89330-1062914/,2 873 ₽,Нет старой цены
1049425,"Crave Влажный корм (пауч) полнорационный для кошек всех пород старше 1 года, с индейкой, 70 гр.",/product/crave-korm-konservirovannyj-polnoratsionnyj-dlya-koshek-vseh-porod-starshe-1-goda-s-indejkoj-70-g-90012-1049425/,85 ₽,99 ₽
1054711,"Mealfeel Корм сухой для стерилизованных кошек, с ягненком, 400 гр.",/product/mealfeel-korm-suhoj-dlya-sterilizovannyh-koshek-s-yagnenkom-400-gr-1120-1054711/,469 ₽,Нет старой цены
1054947,"Grandin Holistic Влажный корм (консервы) для взрослых кошек, индейка в соусе, 100 гр.",/product/grandin-holistic-vlazhnyj-korm-konservy-dlya-vzroslyh-koshek-indejka-v-souse-100-gr-89036-1054947/,97 ₽,Нет старой цены
1016215,"Royal Canin British Shorthair Adult Влажный корм (пауч) для кошек британской короткошерстной породы старше 12 месяцев, 85 гр.",/product/royal-canin-british-shorthair-adult-vlazhnyj-korm-dlya-koshek-britanskoj-korotkosherstnoj-porody-starshe-12-mesyatsev-85-g-627-1016215/,85 ₽,99 ₽
1020144,"ProPlan Kitten Влажный корм для котят, с говядиной в соусе, 85 гр.",/product/proplan-kitten-vlazhnyj-korm-dlya-kotyat-s-govyadinoj-v-souse-85-g-88939-1020144/,89 ₽,Нет старой цены
1016216,"Royal Canin Maine Coon Adult Влажный корм (пауч) для кошек породы мейн-кун старше 15 месяцев, 85 гр.",/product/royal-canin-maine-coon-adult-vlazhnyj-korm-dlya-koshek-porody-mejn-kun-starshe-15-mesyatsev-85-g-628-1016216/,85 ₽,99 ₽
1049426,"Crave Влажный корм (пауч) полнорационный для кошек всех пород старше 1 года, с ягненком, 70 г",/product/crave-korm-konservirovannyj-polnoratsionnyj-dlya-koshek-vseh-porod-starshe-1-goda-s-yagnenkom-70-g-847-1049426/,85 ₽,99 ₽
1040164,"Grandorf Сухой корм для котят, ягненок с индейкой, 400 гр.",/product/grandorf-suhoj-korm-dlya-kotyat-yagnenok-s-indejkoj-400-gr-1173-1040164/,985 ₽,Нет старой цены
1053562,"Mealfeel Functional Nutrition Влажный корм (пауч) для контроля веса у стерилизованных кошек, курица в соусе с цельными кусочками филе, 85 гр.",/product/mealfeel-functional-nutrition-vlazhnyj-korm-pauch-dlya-kontrolya-vesa-u-sterilizovannyh-koshek-kuritsa-v-souse-s-tselnymi-kusochkami-file-85-gr-557-1053562/,73 ₽,Нет старой цены
1053068,"Wellkiss Kitten Влажный корм (пауч) для котят, с курицей и индейкой в соусе, 85 гр.",/product/wellkiss-kitten-vlazhnyj-korm-pauch-dlya-kotyat-s-kuritsej-i-indejkoj-v-souse-85-gr-467-1053068/,65 ₽,Нет старой цены
1054945,"Grandin Holistic Влажный корм (консервы) для взрослых кошек, индейка в желе, 100 гр.",/product/grandin-holistic-vlazhnyj-korm-konservy-dlya-vzroslyh-koshek-indejka-v-zhele-100-gr-758-1054945/,97 ₽,Нет старой цены
1040170,"Grandorf Сухой корм для кошек белая рыба с индейкой, забота о коже и шерсти 400гр.",/product/grandorf-suhoj-korm-dlya-koshek-belaya-ryba-s-indejkoj-zabota-o-kozhe-i-shersti-400gr-1176-1040170/,985 ₽,Нет старой цены
1056308,"Grandin Kitten Grain free Monoprotein Влажный корм (пауч) для котят, патэ из нежного мяса курицы в желе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-kotyat-pate-iz-nezhnogo-myasa-kuritsy-v-zhele-85-gr-763-1056308/,129 ₽,Нет старой цены
1061523,"ProPlan Sterilised Renal Plus Сухой корм для стерилизованных кошек, с индейкой, 600 гр.",/product/proplan-korm-suhoj-dlya-sterilizovannyh-koshek-s-indejkoj-400-200-g-87397-1061523/,589 ₽,Нет старой цены
1053559,"Mealfeel Functional Nutrition Влажный корм (пауч) для котят, кусочки с ягненком в соусе, 85 гр.",/product/mealfeel-functional-nutrition-vlazhnyj-korm-pauch-dlya-kotyat-kusochki-s-yagnenkom-v-souse-85-gr-554-1053559/,73 ₽,Нет старой цены
1054709,"Mealfeel Корм сухой для стерилизованных кошек, с лососем, 400 гр.",/product/mealfeel-korm-suhoj-dlya-sterilizovannyh-koshek-s-lososem-400-gr-1119-1054709/,469 ₽,Нет старой цены
1053563,"Mealfeel Functional Nutrition Влажный корм (пауч) для контроля веса у стерилизованных кошек, кусочки с говядиной в соусе, 85 гр.",/product/mealfeel-functional-nutrition-vlazhnyj-korm-pauch-dlya-kontrolya-vesa-u-sterilizovannyh-koshek-kusochki-s-govyadinoj-v-souse-85-gr-558-1053563/,73 ₽,Нет старой цены
1062912,"ALLEVA Cat Adult Urinary 360 Сухой диетический корм для кошек, 1,5 кг",/product/alleva-care-korm-suhoj-dlya-koshek-urinari-1-5kg-89328-1062912/,3 385 ₽,Нет старой цены
1054706,"Mealfeel Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 400 гр.",/product/mealfeel-korm-suhoj-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indejkoj-i-lososem-400-gr-1118-1054706/,469 ₽,Нет старой цены
1016929,"ProPlan Healthy Start Влажный корм (пауч) для котят, с курицей в желе, 85 гр.",/product/proplan-kitten-vlazhnyj-korm-dlya-kotyat-s-kuritsej-v-zhele-85-g-88938-1016929/,89 ₽,Нет старой цены
1062115,"Royal Canin Urinary S/O Сухой корм для лечения и профилактики мочекаменной болезни (мкб) у кошек, 350 гр.",/product/royal-canin-urinary-s-o-suhoj-korm-pri-zabolevaniyah-mochevydelitelnoj-sistemy-ukoshek-350-g-88774-1062115/,715 ₽,Нет старой цены
1062114,"Royal Canin Gastrointestinal Fibre Response Сухой корм при нарушениях пищеварения у кошек, 350 гр.",/product/royal-canin-gastrointestinal-fibre-response-suhoj-korm-dlya-koshek-pri-narusheniyahpishchevareniya-350-gr-88773-1062114/,899 ₽,Нет старой цены
1054667,"Grandin Влажный корм (пауч) для кошек, кусочки с говядиной в соусе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-koshek-kusochki-s-govyadinoj-v-souse-85-gr-755-1054667/,79 ₽,Нет старой цены
1056877,"Grandin Корм сухой для кастрированных котов и стерилизованных кошек в возрасте от 1 года до 7 лет, с курицей, 400 гр.",/product/grandin-korm-suhoj-dlya-kastrirovannyh-kotov-i-sterilizovannyh-koshek-v-vozraste-ot-1-goda-do-7-let-s-kuritsej-400-gr-83596-1056877/,679 ₽,Нет старой цены
1053741,"AlphaPet Сухой корм для стерилизованных кошек с ягненком и индейкой, 1,5 кг",/product/alphapet-suhoj-korm-dlya-sterilizovannyh-koshek-s-yagnenkom-i-indejkoj-1-5-kg-1240-1053741/,1 637 ₽,Нет старой цены
1053574,"Wellkiss Kitten Влажный корм (пауч) для котят, с ягненком и говядиной в соусе, 85 гр.",/product/wellkiss-kitten-vlazhnyj-korm-pauch-dlya-kotyat-s-yagnenkom-i-govyadinoj-v-souse-85-gr-472-1053574/,65 ₽,Нет старой цены
1058849,"Mealfeel Влажный корм (консервы) для кошек, тунец с топпингом из копченого тунца в желе, 85 гр.",/product/mealfeel-konservy-dlya-koshek-tunets-s-toppingom-iz-kopchenogo-tuntsa-v-zhele-85g-83257-1058849/,179 ₽,Нет старой цены
1042258,"Ownat Adult Sterilized Grain Free Just Сухой корм беззерновой для стерилизованных кошек, с курицей, 1 кг",/product/ownat-adult-sterilized-korm-suhoj-bezzernovoj-dlya-sterilizovannyh-koshek-s-kuritsej-1-kg-1184-1042258/,1 399 ₽,Нет старой цены
1054702,"Mealfeel Корм сухой для котят, с курицей и индейкой, 400 гр.",/product/mealfeel-korm-suhoj-dlya-kotyat-s-kuritsej-i-indejkoj-400-gr-1116-1054702/,469 ₽,Нет старой цены
1063190,"ProPlan Sterilised корм для стерилизованных кошек с чувствительным пищеварением, с курицей, 1,9 кг",/product/proplan-sterilised-korm-dlya-sterilizovannyh-koshek-s-chuvstvitelnym-pishchevareniem-s-kuritsej-1-9-kg-89935-1063190/,2 165 ₽,Нет старой цены
1054948,"Grandin Holistic Влажный корм (консервы) для взрослых кошек, курица в соусе, 100 гр.",/product/grandin-holistic-vlazhnyj-korm-konservy-dlya-vzroslyh-koshek-kuritsa-v-souse-100-gr-89037-1054948/,97 ₽,Нет старой цены
1061639,AlphaPet Влажный корм для кошек нежные ломтики кролика с потрошками в соусе 80г,/product/alphapet-vlazhnyj-korm-dlya-koshek-nezhnye-lomtiki-krolika-s-potroshkami-v-souse-80g-87586-1061639/,65 ₽,Нет старой цены
1053557,"Mealfeel Functional Nutrition Влажный корм (пауч) для котят, кусочки с домашней птицей в соусе, 85 гр.",/product/mealfeel-functional-nutrition-vlazhnyj-korm-pauch-dlya-kotyat-kusochki-s-domashnej-ptitsej-v-souse-85-gr-552-1053557/,73 ₽,Нет старой цены
1046541,"Farmina VET LIFE Convalescence паштет для кошек, 85г",/product/farmina-vet-life-convalescence-pashtet-dlya-koshek-85g-3067-1046541/,249 ₽,Нет старой цены
1053067,"Wellkiss Adult Влажный корм (пауч) для взрослых кошек, с ягненком и говядиной в соусе, 85 гр.",/product/wellkiss-adult-vlazhnyj-korm-pauch-dlya-vzroslyh-koshek-s-yagnenkom-i-govyadinoj-v-souse-85-gr-466-1053067/,63 ₽,Нет старой цены
1049539,"INABA CIAO Влажный корм (пауч) для кошек, тунец магуро и тунец кацуо с крабом сурими, 60 гр.",/product/inaba-ciao-vlazhnyj-korm-dlya-koshek-tunets-maguro-i-tunets-katsuo-s-krabom-surimi-60-g-89054-1049539/,159 ₽,Нет старой цены
1049538,"INABA CIAO Влажный корм (пауч) для кошек, тунец магуро и тунец кацуо с куриным филе, 60 гр.",/product/inaba-ciao-vlazhnyj-korm-dlya-koshek-tunets-maguro-i-tunets-katsuo-s-kurinym-file-60-g-89816-1049538/,159 ₽,Нет старой цены
1056876,"Grandin Kitten Сухой корм для котят, беременных и кормящих кошек, с курицей, 1,5 кг",/product/kitten-grain-free-korm-suhoj-dlya-kotyat-s-kuritsej-1-5-kg-1136-1056876/,1 849 ₽,Нет старой цены
1053566,"Mealfeel Functional Nutrition Влажный корм (пауч) для красоты шерсти и здоровья кожного покрова кошек, кусочки с индейкой в соусе, 85 гр.",/product/mealfeel-functional-nutrition-vlazhnyj-korm-pauch-dlya-krasoty-shersti-i-zdorovya-kozhnogo-pokrova-koshek-kusochki-s-indejkoj-v-souse-85-gr-561-1053566/,73 ₽,Нет старой цены
1040003,"Gourmet Влажный корм (пауч) для взрослых кошек Натуральные рецепты, с курицей на пару с морковью, 75 гр.",/product/gourmet-vlazhnyj-korm-naturalnye-retsepty-dlya-koshek-kuritsa-na-paru-s-morkovyu-75-g-509-1040003/,32 ₽,42 ₽
1058002,"Mealfeel Влажный корм (консервы) для котят, паштет из курицы с кроликом, 100 гр.",/product/mealfeel-vlazhnyj-korm-konservy-dlya-kotyat-pashtet-iz-kuritsy-s-krolikom-100-gr-577-1058002/,93 ₽,Нет старой цены
1056307,"Grandin Adult Grain free Monoprotein Влажный корм (пауч) для взрослых кошек, патэ из нежного мяса телятины в желе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-vzroslyh-koshek-pate-iz-nezhnogo-myasa-telyatiny-v-zhele-85-gr-762-1056307/,129 ₽,Нет старой цены
1056310,"Grandin Sterilized Grain free Monoprotein Влажный корм (пауч) для взрослых стерилизованных кошек, патэ из нежного мяса индейки в желе, 85 гр.",/product/grandin-vlazhnyj-korm-pauch-dlya-vzroslyh-sterilizovannyh-koshek-pate-iz-nezhnogo-myasa-indejki-v-zhele-85-gr-765-1056310/,129 ₽,Нет старой цены
1058851,"Mealfeel Влажный корм (консервы) для кошек, тунец с топпингом из мяса краба в желе, 85 гр.",/product/mealfeel-konservy-dlya-koshek-tunets-s-toppingom-iz-myasa-kraba-v-zhele-85g-83259-1058851/,179 ₽,Нет старой цены
